attempts,source_file,from_manager,to_manager,transformation_type,transform_duration,validate_duration,is_valid,errors,transform_attempts,error_category
1,gap_dw_resnet50_cifar100.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,gap_dw_resnet50_cifar100.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,litllamarun.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,litllamarun.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,nanoconfinement-lammps.pbs-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,nanoconfinement-lammps.pbs-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,kerasGPU.pbs-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
1,kerasGPU.pbs-flux-result.json,pbs,flux,pbs -> flux,,,True,[],1,
1,train_model_on_decals_dr5_splits.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,train_model_on_decals_dr5_splits.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,batch_ibs_p_dynamic3_0.99.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,batch_ibs_p_dynamic3_0.99.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
2,batcher.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,batcher.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,daily3.aqm.o3_72.plot_max-slurm-result.json,pbs,slurm,pbs -> slurm,,,True,[],1,
5,daily3.aqm.o3_72.plot_max-flux-result.json,pbs,flux,pbs -> flux,,,False,['Validation failed at directives:\n--mem=4G\n--account=AQM-DEV'],1,Directive Syntax/Format Error
1,GEN_make_FW2.qs-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,GEN_make_FW2.qs-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,job.sbatch-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
1,job.sbatch-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,profiling_single_executable_home.sh-flux-result.json,slurm,flux,slurm -> flux,,,True,[],1,
1,profiling_single_executable_home.sh-slurm-result.json,slurm,slurm,slurm -> slurm,,,True,[],1,
