model	app	subject	variant	field	value	confidence	evidence_count
us.anthropic.claude-opus-4-8	Kripke:mpi-openmp-cpu	kripke.exe	mpi-openmp-cpu	communication.pattern	neighbor	high	3
us.anthropic.claude-opus-4-8	Kripke:mpi-openmp-cpu	kripke.exe	mpi-openmp-cpu	communication.latency_sensitive	True	medium	2
us.anthropic.claude-opus-4-8	Kripke:mpi-openmp-cpu	kripke.exe	mpi-openmp-cpu	launch.launcher	srun	medium	2
us.anthropic.claude-opus-4-8	Kripke:mpi-openmp-cpu	kripke.exe	mpi-openmp-cpu	communication.intensity	high	medium	2
us.anthropic.claude-opus-4-8	Kripke:mpi-openmp-cpu	kripke.exe	mpi-openmp-cpu	communication.bandwidth_sensitive	True	medium	2
us.anthropic.claude-opus-4-8	Kripke:mpi-openmp-cpu	kripke.exe	mpi-openmp-cpu	accelerator.kind	none	high	1
us.anthropic.claude-opus-4-8	Kripke:mpi-openmp-cpu	kripke.exe	mpi-openmp-cpu	io.checkpoint	False	medium	1
us.anthropic.claude-opus-4-8	Kripke:mpi-openmp-cpu	kripke.exe	mpi-openmp-cpu	io.parallel_io	none	medium	1
us.anthropic.claude-opus-4-8	Kripke:mpi-openmp-cpu	kripke.exe	mpi-openmp-cpu	topology.span	either	medium	2
us.anthropic.claude-opus-4-8	Kripke:mpi-openmp-cpu	kripke.exe	mpi-openmp-cpu	topology.placement	neighbor	medium	1
us.anthropic.claude-opus-4-8	Kripke:mpi-openmp-cpu	kripke.exe	mpi-openmp-cpu	topology.co_location	preferred	low	1
us.anthropic.claude-opus-4-8	Kripke:mpi-gpu-cuda-hip	kripke.exe	mpi-gpu-cuda-hip	parallelism	['mpi', 'gpu']	high	3
us.anthropic.claude-opus-4-8	Kripke:mpi-gpu-cuda-hip	kripke.exe	mpi-gpu-cuda-hip	accelerator.kind	cuda	high	3
us.anthropic.claude-opus-4-8	Kripke:mpi-gpu-cuda-hip	kripke.exe	mpi-gpu-cuda-hip	communication.pattern	neighbor	high	2
us.anthropic.claude-opus-4-8	Kripke:mpi-gpu-cuda-hip	kripke.exe	mpi-gpu-cuda-hip	communication.model	mixed	high	2
us.anthropic.claude-opus-4-8	Kripke:mpi-gpu-cuda-hip	kripke.exe	mpi-gpu-cuda-hip	accelerator.gpu_comm	gpu_aware_mpi	high	3
us.anthropic.claude-opus-4-8	Kripke:mpi-gpu-cuda-hip	kripke.exe	mpi-gpu-cuda-hip	communication.latency_sensitive	True	medium	2
us.anthropic.claude-opus-4-8	Kripke:mpi-gpu-cuda-hip	kripke.exe	mpi-gpu-cuda-hip	communication.bandwidth_sensitive	True	medium	1
us.anthropic.claude-opus-4-8	Kripke:mpi-gpu-cuda-hip	kripke.exe	mpi-gpu-cuda-hip	accelerator.multi_gpu	False	low	1
us.anthropic.claude-opus-4-8	Kripke:mpi-gpu-cuda-hip	kripke.exe	mpi-gpu-cuda-hip	topology.co_location	preferred	medium	2
us.anthropic.claude-opus-4-8	Kripke:mpi-gpu-cuda-hip	kripke.exe	mpi-gpu-cuda-hip	topology.placement	neighbor	medium	1
us.anthropic.claude-opus-4-8	Kripke:mpi-gpu-cuda-hip	kripke.exe	mpi-gpu-cuda-hip	topology.span	either	medium	1
us.anthropic.claude-opus-4-8	Kripke:mpi-gpu-cuda-hip	kripke.exe	mpi-gpu-cuda-hip	memory.numa_sensitive	True	low	1
us.anthropic.claude-opus-4-8	Kripke:mpi-gpu-cuda-hip	kripke.exe	mpi-gpu-cuda-hip	io.checkpoint	False	medium	1
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	parallelism	['mpi', 'threaded', 'process']	high	3
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	communication.model	mixed	high	3
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	communication.pattern	neighbor	high	3
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	communication.latency_sensitive	True	medium	2
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	communication.intensity	moderate	low	2
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	launch.launcher	srun	high	2
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	launch.nodes	24576	high	1
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	launch.tasks	24576	high	1
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	launch.tasks_per_node	1	high	1
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	launch.threads_per_task	64	high	1
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	topology.span	either	medium	2
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	topology.placement	neighbor	medium	1
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	topology.co_location	preferred	medium	1
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	memory.numa_sensitive	True	high	2
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	memory.cpu_exclusive	True	low	1
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	memory.shared_memory	False	high	2
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	communication.bandwidth_sensitive	False	medium	2
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	io.parallel_io	none	high	2
us.anthropic.claude-opus-4-8	Quicksilver:cpu-mpi-openmp	qs	cpu-mpi-openmp	io.checkpoint	False	medium	1
us.anthropic.claude-opus-4-8	Quicksilver:gpu-cuda-hip	qs	gpu-cuda-hip	parallelism	['gpu', 'mpi', 'process']	high	3
us.anthropic.claude-opus-4-8	Quicksilver:gpu-cuda-hip	qs	gpu-cuda-hip	accelerator.kind	cuda	high	2
us.anthropic.claude-opus-4-8	Quicksilver:gpu-cuda-hip	qs	gpu-cuda-hip	accelerator.multi_gpu	False	medium	2
us.anthropic.claude-opus-4-8	Quicksilver:gpu-cuda-hip	qs	gpu-cuda-hip	accelerator.gpu_comm	none	high	2
us.anthropic.claude-opus-4-8	Quicksilver:gpu-cuda-hip	qs	gpu-cuda-hip	memory.shared_memory	False	high	2
us.anthropic.claude-opus-4-8	Quicksilver:gpu-cuda-hip	qs	gpu-cuda-hip	communication.pattern	neighbor	high	2
us.anthropic.claude-opus-4-8	Quicksilver:gpu-cuda-hip	qs	gpu-cuda-hip	communication.model	mixed	high	2
us.anthropic.claude-opus-4-8	Quicksilver:gpu-cuda-hip	qs	gpu-cuda-hip	topology.co_location	required	medium	2
us.anthropic.claude-opus-4-8	Quicksilver:gpu-cuda-hip	qs	gpu-cuda-hip	topology.placement	neighbor	medium	1
us.anthropic.claude-opus-4-8	Quicksilver:gpu-cuda-hip	qs	gpu-cuda-hip	topology.span	either	low	1
us.anthropic.claude-opus-4-8	Quicksilver:gpu-cuda-hip	qs	gpu-cuda-hip	launch.launcher	srun	medium	2
us.anthropic.claude-opus-4-8	Quicksilver:gpu-cuda-hip	qs	gpu-cuda-hip	launch.gpus_per_task	1	low	2
us.anthropic.claude-opus-4-8	Quicksilver:gpu-cuda-hip	qs	gpu-cuda-hip	io.parallel_io	none	high	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:ref	miniFE.x	ref	parallelism	['mpi']	high	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:ref	miniFE.x	ref	communication.model	mixed	high	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:ref	miniFE.x	ref	communication.pattern	neighbor	high	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:ref	miniFE.x	ref	launch.launcher	mpirun	medium	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:ref	miniFE.x	ref	communication.intensity	moderate	high	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:ref	miniFE.x	ref	communication.latency_sensitive	True	high	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:ref	miniFE.x	ref	communication.bandwidth_sensitive	False	medium	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:ref	miniFE.x	ref	topology.placement	neighbor	high	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:ref	miniFE.x	ref	topology.span	either	medium	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:ref	miniFE.x	ref	topology.co_location	preferred	medium	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:ref	miniFE.x	ref	io.checkpoint	False	high	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:openmp	miniFE.x	openmp	parallelism	['mpi', 'threaded']	high	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:openmp	miniFE.x	openmp	communication.model	mixed	high	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:openmp	miniFE.x	openmp	communication.pattern	neighbor	high	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:openmp	miniFE.x	openmp	memory.numa_sensitive	True	medium	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:openmp	miniFE.x	openmp	communication.latency_sensitive	True	high	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:openmp	miniFE.x	openmp	launch.launcher	mpirun	medium	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:openmp	miniFE.x	openmp	topology.co_location	preferred	medium	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:cuda	miniFE.x	cuda	parallelism	['mpi', 'gpu']	high	3
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:cuda	miniFE.x	cuda	accelerator.kind	cuda	high	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:cuda	miniFE.x	cuda	accelerator.gpu_comm	gpu_aware_mpi	high	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:cuda	miniFE.x	cuda	communication.pattern	neighbor	high	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:cuda	miniFE.x	cuda	communication.model	mixed	high	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:cuda	miniFE.x	cuda	launch.launcher	mpirun	medium	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:cuda	miniFE.x	cuda	topology.co_location	preferred	medium	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:cuda	miniFE.x	cuda	communication.intensity	moderate	medium	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:cuda	miniFE.x	cuda	communication.latency_sensitive	True	medium	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:cuda	miniFE.x	cuda	accelerator.multi_gpu	False	low	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:cuda	miniFE.x	cuda	topology.placement	neighbor	medium	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:cuda	miniFE.x	cuda	topology.span	either	medium	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:kokkos	miniFE.x	kokkos	parallelism	['mpi', 'threaded', 'task']	high	3
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:kokkos	miniFE.x	kokkos	communication.model	mixed	high	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:kokkos	miniFE.x	kokkos	communication.pattern	neighbor	high	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:kokkos	miniFE.x	kokkos	memory.numa_sensitive	True	medium	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:kokkos	miniFE.x	kokkos	accelerator.multi_gpu	True	medium	2
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:kokkos	miniFE.x	kokkos	launch.launcher	mpirun	medium	1
us.anthropic.claude-opus-4-8	miniFE:miniFE.x:kokkos	miniFE.x	kokkos	topology.co_location	preferred	medium	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cuda:cuda	mixbench-cuda	cuda	parallelism	['gpu']	high	2
us.anthropic.claude-opus-4-8	mixbench:mixbench-cuda:cuda	mixbench-cuda	cuda	accelerator.kind	cuda	high	2
us.anthropic.claude-opus-4-8	mixbench:mixbench-cuda:cuda	mixbench-cuda	cuda	accelerator.multi_gpu	False	high	2
us.anthropic.claude-opus-4-8	mixbench:mixbench-cuda:cuda	mixbench-cuda	cuda	accelerator.gpu_comm	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cuda:cuda	mixbench-cuda	cuda	communication.model	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cuda:cuda	mixbench-cuda	cuda	launch.launcher	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cuda:cuda	mixbench-cuda	cuda	topology.span	single_node	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cuda:cuda	mixbench-cuda	cuda	topology.co_location	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cuda:cuda	mixbench-cuda	cuda	topology.placement	any	medium	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cuda:cuda	mixbench-cuda	cuda	io.checkpoint	False	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cuda:cuda	mixbench-cuda	cuda	io.parallel_io	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cuda:cuda	mixbench-cuda	cuda	communication.pattern	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-opencl:opencl	mixbench-opencl	opencl	parallelism	['gpu']	high	2
us.anthropic.claude-opus-4-8	mixbench:mixbench-opencl:opencl	mixbench-opencl	opencl	accelerator.kind	opencl	high	2
us.anthropic.claude-opus-4-8	mixbench:mixbench-opencl:opencl	mixbench-opencl	opencl	accelerator.multi_gpu	False	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-opencl:opencl	mixbench-opencl	opencl	accelerator.gpu_comm	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-opencl:opencl	mixbench-opencl	opencl	communication.model	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-opencl:opencl	mixbench-opencl	opencl	topology.span	single_node	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-opencl:opencl	mixbench-opencl	opencl	launch.launcher	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-sycl:sycl	mixbench-sycl	sycl	parallelism	['gpu']	high	2
us.anthropic.claude-opus-4-8	mixbench:mixbench-sycl:sycl	mixbench-sycl	sycl	accelerator.kind	sycl	high	2
us.anthropic.claude-opus-4-8	mixbench:mixbench-sycl:sycl	mixbench-sycl	sycl	accelerator.multi_gpu	False	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-sycl:sycl	mixbench-sycl	sycl	accelerator.gpu_comm	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-sycl:sycl	mixbench-sycl	sycl	communication.model	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-sycl:sycl	mixbench-sycl	sycl	topology.span	single_node	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-sycl:sycl	mixbench-sycl	sycl	launch.launcher	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-hip:hip	mixbench-hip	hip	parallelism	['gpu']	high	2
us.anthropic.claude-opus-4-8	mixbench:mixbench-hip:hip	mixbench-hip	hip	accelerator.kind	rocm	high	2
us.anthropic.claude-opus-4-8	mixbench:mixbench-hip:hip	mixbench-hip	hip	accelerator.multi_gpu	False	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-hip:hip	mixbench-hip	hip	accelerator.gpu_comm	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-hip:hip	mixbench-hip	hip	communication.model	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-hip:hip	mixbench-hip	hip	topology.span	single_node	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-hip:hip	mixbench-hip	hip	launch.launcher	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-hip:hip	mixbench-hip	hip	topology.co_location	none	medium	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cpu:cpu-openmp	mixbench-cpu	cpu-openmp	io.checkpoint	False	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cpu:cpu-openmp	mixbench-cpu	cpu-openmp	io.parallel_io	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cpu:cpu-openmp	mixbench-cpu	cpu-openmp	topology.placement	pack	medium	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cpu:cpu-openmp	mixbench-cpu	cpu-openmp	communication.pattern	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cpu:cpu-openmp	mixbench-cpu	cpu-openmp	parallelism	['threaded']	high	3
us.anthropic.claude-opus-4-8	mixbench:mixbench-cpu:cpu-openmp	mixbench-cpu	cpu-openmp	accelerator.kind	none	high	2
us.anthropic.claude-opus-4-8	mixbench:mixbench-cpu:cpu-openmp	mixbench-cpu	cpu-openmp	communication.model	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cpu:cpu-openmp	mixbench-cpu	cpu-openmp	launch.launcher	none	high	1
us.anthropic.claude-opus-4-8	mixbench:mixbench-cpu:cpu-openmp	mixbench-cpu	cpu-openmp	memory.numa_sensitive	True	high	2
us.anthropic.claude-opus-4-8	mixbench:mixbench-cpu:cpu-openmp	mixbench-cpu	cpu-openmp	memory.cpu_exclusive	True	medium	2
us.anthropic.claude-opus-4-8	mixbench:mixbench-cpu:cpu-openmp	mixbench-cpu	cpu-openmp	topology.span	single_node	high	2
us.anthropic.claude-opus-4-8	mixbench:mixbench-cpu:cpu-openmp	mixbench-cpu	cpu-openmp	topology.co_location	none	high	1
us.anthropic.claude-opus-4-8	hypre:lmp:boomeramg-cpu	lmp	boomeramg-cpu	parallelism	['mpi', 'threaded']	high	3
us.anthropic.claude-opus-4-8	hypre:lmp:boomeramg-cpu	lmp	boomeramg-cpu	communication.model	mixed	high	2
us.anthropic.claude-opus-4-8	hypre:lmp:boomeramg-cpu	lmp	boomeramg-cpu	communication.pattern	neighbor	high	2
us.anthropic.claude-opus-4-8	hypre:lmp:boomeramg-cpu	lmp	boomeramg-cpu	communication.intensity	high	medium	2
us.anthropic.claude-opus-4-8	hypre:lmp:boomeramg-cpu	lmp	boomeramg-cpu	communication.latency_sensitive	True	high	2
us.anthropic.claude-opus-4-8	hypre:lmp:boomeramg-cpu	lmp	boomeramg-cpu	communication.bandwidth_sensitive	True	medium	2
us.anthropic.claude-opus-4-8	hypre:lmp:boomeramg-cpu	lmp	boomeramg-cpu	memory.numa_sensitive	True	medium	2
us.anthropic.claude-opus-4-8	hypre:lmp:boomeramg-cpu	lmp	boomeramg-cpu	launch.launcher	mpirun	high	2
us.anthropic.claude-opus-4-8	hypre:lmp:boomeramg-cpu	lmp	boomeramg-cpu	io.checkpoint	False	low	1
us.anthropic.claude-opus-4-8	hypre:lmp:boomeramg-cpu	lmp	boomeramg-cpu	topology.span	either	medium	2
us.anthropic.claude-opus-4-8	hypre:lmp:boomeramg-cpu	lmp	boomeramg-cpu	topology.placement	neighbor	medium	1
us.anthropic.claude-opus-4-8	hypre:lmp:boomeramg-cpu	lmp	boomeramg-cpu	topology.co_location	preferred	medium	2
us.anthropic.claude-opus-4-8	hypre:ij:boomeramg-cpu	ij	boomeramg-cpu	parallelism	['mpi', 'threaded']	high	3
us.anthropic.claude-opus-4-8	hypre:ij:boomeramg-cpu	ij	boomeramg-cpu	communication.model	mixed	high	2
us.anthropic.claude-opus-4-8	hypre:ij:boomeramg-cpu	ij	boomeramg-cpu	communication.pattern	neighbor	high	2
us.anthropic.claude-opus-4-8	hypre:ij:boomeramg-cpu	ij	boomeramg-cpu	communication.intensity	high	medium	2
us.anthropic.claude-opus-4-8	hypre:ij:boomeramg-cpu	ij	boomeramg-cpu	communication.latency_sensitive	True	high	2
us.anthropic.claude-opus-4-8	hypre:ij:boomeramg-cpu	ij	boomeramg-cpu	communication.bandwidth_sensitive	True	medium	2
us.anthropic.claude-opus-4-8	hypre:ij:boomeramg-cpu	ij	boomeramg-cpu	launch.launcher	mpirun	high	2
us.anthropic.claude-opus-4-8	hypre:ij:boomeramg-cpu	ij	boomeramg-cpu	memory.numa_sensitive	True	medium	2
us.anthropic.claude-opus-4-8	hypre:ij:boomeramg-cpu	ij	boomeramg-cpu	topology.span	either	medium	2
us.anthropic.claude-opus-4-8	hypre:ij:boomeramg-cpu	ij	boomeramg-cpu	topology.placement	neighbor	medium	1
us.anthropic.claude-opus-4-8	hypre:ij:boomeramg-cpu	ij	boomeramg-cpu	topology.co_location	preferred	medium	2
us.anthropic.claude-opus-4-8	hypre:ij:boomeramg-cpu	ij	boomeramg-cpu	accelerator.kind	none	high	1
us.anthropic.claude-opus-4-8	hypre:boomeramg-cuda	ij	boomeramg-cuda	parallelism	['mpi', 'gpu']	high	3
us.anthropic.claude-opus-4-8	hypre:boomeramg-cuda	ij	boomeramg-cuda	accelerator.kind	cuda	high	1
us.anthropic.claude-opus-4-8	hypre:boomeramg-cuda	ij	boomeramg-cuda	accelerator.gpu_comm	gpu_aware_mpi	high	2
us.anthropic.claude-opus-4-8	hypre:boomeramg-cuda	ij	boomeramg-cuda	accelerator.multi_gpu	True	medium	2
us.anthropic.claude-opus-4-8	hypre:boomeramg-cuda	ij	boomeramg-cuda	communication.model	mixed	high	2
us.anthropic.claude-opus-4-8	hypre:boomeramg-cuda	ij	boomeramg-cuda	communication.pattern	neighbor	high	1
us.anthropic.claude-opus-4-8	hypre:boomeramg-cuda	ij	boomeramg-cuda	communication.latency_sensitive	True	high	2
us.anthropic.claude-opus-4-8	hypre:boomeramg-cuda	ij	boomeramg-cuda	memory.numa_sensitive	True	medium	1
us.anthropic.claude-opus-4-8	hypre:boomeramg-cuda	ij	boomeramg-cuda	topology.span	either	medium	2
us.anthropic.claude-opus-4-8	hypre:boomeramg-cuda	ij	boomeramg-cuda	topology.co_location	preferred	high	1
